"distance","spectrumID","i"
0,"spec-0390-51900-0010.fits",0
0,"spec-1301-52976-0123.fits",0
0,"spec-1626-53472-0286.fits",0
0,"spec-1685-53463-0384.fits",0
0,"spec-1728-53228-0337.fits",0
0,"spec-1757-53083-0437.fits",0
0,"spec-1923-53319-0383.fits",0
0,"spec-2124-53770-0113.fits",0
0,"spec-2261-53612-0404.fits",0
0,"spec-2620-54339-0453.fits",0
0,"spec-2913-54526-0229.fits",0
0,"spec-3808-55513-0602.fits",0
0,"spec-4611-55603-0878.fits",0
0,"spec-5301-55987-0190.fits",0
0,"spec-6049-56091-0278.fits",0
0,"spec-6406-56330-0456.fits",0
0,"spec-6439-56358-0432.fits",0
0,"spec-7089-56661-0076.fits",0
0,"spec-7235-56603-0338.fits",0
0,"spec-7258-56605-0453.fits",0
0,"spec-7301-56746-0454.fits",0
0.0183269586246061,"spec-4347-55830-0615.fits",1680
0.0220647216173875,"spec-4870-55923-0229.fits",1530
0.0233566502201534,"spec-4039-55648-0759.fits",754
0.031612275543789,"spec-0935-52643-0464.fits",420
0.0391221019311265,"spec-6803-56402-0747.fits",774
0.0566735764990733,"spec-4464-55866-0887.fits",1904
0.0590596281166825,"spec-1397-53119-0412.fits",419
0.0635680774435942,"spec-6656-56624-0929.fits",1893
0.0637017586178906,"spec-5397-55944-0285.fits",430
0.0843751412511134,"spec-6466-56310-0992.fits",1277
0.0874783735724291,"spec-0750-52235-0328.fits",1186
0.0982091375961033,"spec-6461-56329-0925.fits",1817
0.10380382123082,"spec-2179-53555-0564.fits",1105
0.111559639676115,"spec-4058-55358-0634.fits",1689
0.153390616554156,"spec-6161-56238-0336.fits",1265
0.1603990514446,"spec-7257-56658-0239.fits",846
0.166734751298691,"spec-5336-55957-0105.fits",1726
0.169686548542514,"spec-6465-56279-0857.fits",1863
0.171836452454826,"spec-4801-55653-0130.fits",1727
0.172898144056182,"spec-6145-56266-0755.fits",1816
0.185278765337018,"spec-6754-56414-0896.fits",1535
0.194760210617142,"spec-5302-55896-0613.fits",1733
0.198690329134428,"spec-5027-56218-0605.fits",1350
0.203550039220519,"spec-5111-55840-0716.fits",1401
0.211040497757124,"spec-2422-54096-0519.fits",916
0.211404008289563,"spec-0924-52409-0636.fits",236
0.215288513497423,"spec-0632-52071-0263.fits",530
0.221505996754257,"spec-2634-54110-0244.fits",338
0.224381052609485,"spec-4494-55569-0447.fits",2160
0.225945893781132,"spec-6125-56273-0414.fits",1408
0.234957288538455,"spec-6053-56091-0724.fits",1080
0.243055740872902,"spec-0314-51641-0211.fits",902
0.247171731453856,"spec-3755-55504-0496.fits",1370
0.248281031651005,"spec-6512-56567-0742.fits",1256
0.249231318230157,"spec-5451-56010-0798.fits",1179
0.252263328600232,"spec-1568-53169-0578.fits",911
0.255749403861357,"spec-1229-52723-0306.fits",813
0.272463792599528,"spec-1997-53442-0041.fits",458
0.281030486900018,"spec-6447-56362-0485.fits",1942
0.288488672364399,"spec-5454-56015-0641.fits",440
0.290680621966322,"spec-4242-55476-0780.fits",35
0.344209270555309,"spec-4391-55866-0036.fits",202
0.347964772793912,"spec-1672-53460-0251.fits",935
0.36299623331208,"spec-5331-55976-0504.fits",365
0.372783211094872,"spec-6008-56093-0606.fits",48
0.383320763088915,"spec-6620-56368-0501.fits",1611
0.38583396733159,"spec-7424-57160-0977.fits",2182
0.387044941287203,"spec-2359-53826-0199.fits",826
0.400272454028901,"spec-2356-53786-0499.fits",112
0.419230084513448,"spec-5047-55833-0214.fits",386
0.437336239535372,"spec-1054-52516-0291.fits",1108
0.440265882688178,"spec-1382-53115-0469.fits",1169
0.442411289279722,"spec-1232-52731-0467.fits",644
0.443946341806997,"spec-1026-52558-0067.fits",622
0.444078463506744,"spec-1959-53440-0382.fits",973
0.447375583647646,"spec-4176-55682-0865.fits",1969
0.454731457397411,"spec-1437-53046-0166.fits",1655
0.465200105753707,"spec-1719-53876-0095.fits",46
0.480383025953392,"spec-7395-57131-0208.fits",1151
0.495880348154454,"spec-0991-52707-0359.fits",1242
0.497902247082706,"spec-5793-56337-0530.fits",769
0.511000282423342,"spec-5972-56334-0558.fits",1942
0.514769424537717,"spec-7255-56597-0896.fits",169
0.526531636479903,"spec-1081-52531-0173.fits",1134
0.546514350598035,"spec-1311-52765-0413.fits",223
0.558538931922605,"spec-5015-55707-0294.fits",236
0.577042086248229,"spec-5328-55982-0218.fits",911
0.610660019167076,"spec-2161-53878-0604.fits",1298
0.617700365125051,"spec-0509-52374-0631.fits",1416
0.639815854585062,"spec-2382-54169-0116.fits",296
0.654298046801226,"spec-1105-52937-0368.fits",1470
0.665701283871031,"spec-5324-55947-0886.fits",836
0.672311888031882,"spec-6064-56097-0818.fits",1324
0.681884486824844,"spec-2118-53820-0538.fits",1297
0.686631703959914,"spec-0995-52731-0137.fits",1337
0.697400790196627,"spec-2557-54178-0009.fits",275
0.721109383237897,"spec-1788-54468-0050.fits",1110
0.746339195298582,"spec-2188-54595-0112.fits",1115
0.878261045395904,"spec-1353-53083-0579.fits",523
